id,title,plot
6922,Santitos,"When St. Jude appears to her to tell her that her daughter is still alive, Esperanza goes on a search to find her daughter."
6923,Play Misty for Me,The life of a disc jockey is turned upside down after a romantic encounter with an obsessed fan.
6924,Gaslight,"Ten years after her aunt was murdered in their London home, a woman returns from Italy in the 1880s to resume residence with her new husband. His obsessive interest in the home rises from a secret that may require driving his wife insane."
6925,The Enigma of Kaspar Hauser,"A young man named Kaspar Hauser suddenly appears in Nuremberg in 1828, barely able to talk or walk, and bearing a strange note."
6926,Hilary and Jackie,"The tragic story of world renowned classic cellist Jacqueline du Pré, as told from the point of view of her sister, flautist Hilary du Pré-Finzi."
6927,Barbershop 2: Back in Business,"The owner of an historic South Side Chicago barbershop is pressured to sell out to a land developer, but must face the impact this would have on his close-knit community."
6928,How Stella Got Her Groove Back,"Stella is a highly successful, forty-something San Francisco stock broker who is persuaded by her colorful New York girlfriend Delilah to take a well deserved, first-class vacation to Jamaica."
6929,Never on Sunday,An American scholar in Greece sets about improving the prostitute with whom he is infatuated.
6930,Tin Cup,A washed up golf pro working at a driving range tries to qualify for the US Open in order to win the heart of his successful rival's girlfriend.
6931,Army of One,"Out hiking, Special Forces Brenner Baker stumbles onto a Cartel's compound. Her husband's killed and she's left for dead. The Cartel made two mistakes, killing her husband and leaving her alive. They won't live to make another."
6932,12 Monkeys,"In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet."
6933,White Christmas,A successful song-and-dance team become romantically involved with a sister act and team up to save the failing Vermont inn of their former commanding general.
6934,The Naked Gun: From the Files of Police Squad!,Incompetent police Detective Frank Drebin must foil an attempt to assassinate Queen Elizabeth II.
6935,Rock and Rule,
6936,Ganparêdo mâchî: Aratanaru kôgun uta,"In 1945, the Pacific War ended only to see the beginning of an alien invasion. For half a century, Earth has united to fight them off. In 1999, a group of Japanese high school students drafted into the military stand against the threat on the Japanese island of Kyushu.::Anonymous"
6937,The Simple Life: Serbia,"On this show two young women (Ana Mihajlovski and Marijana Micic), used to the high living in the big city life, will be moved to live with a family on a farm for 35 days."
6938,Lies My Mother Told Me,"Inspired by actual events, about a young girl and her mother, Laren Sims, a con-artist and master of disguises who steals the identities of other women and then turns to murder to protect her secrets."
6939,Broadway's Lost Treasures III: The Best of the Tony Awards,
6940,The Emperor and the Assassin,"In pre-unified China, the King of Qin sends his concubine to a rival kingdom to produce an assassin for a political plot, but as the king's cruelty mounts she finds her loyalty faltering."
6941,For Love of Ivy,"Upon learning their maid will be leaving to earn an education, the son of the family decides to set her up with a man."
6942,Hell Up in Harlem,"A gangster in Harlem must rescue his ex-wife, who has been kidnapped by the Mafia."
6943,Attack of the Giant Leeches,"A backwoods game warden and a local doctor discover that giant leeches are responsible for disappearances and deaths in a local swamp, but the local police don't believe them."
6944,The Last Don II,"As the elder don dies, his young heir moves into the position. He quickly proves to be as ruthless as he tries to discover who has launched a plot to overthrow his rule and may be infiltrating other families. In a left over plot line, his aunt discovers that the young don had her son murdered first setting her off in a plot to kill him. Then when she is stopped she is driven into the arms of a conflicted priest. Meanwhile, an undercover FBI agent moves into the family home as a teacher for the don's handicapped daughter.::John Sacksteder <jsackste@bellsouth.net>"
6945,Godspell,"An adaption of the musical, in a modern-day song-and-dance recreation of the Gospel of St. Matthew."
6946,The Alchemists,A fast-paced thriller based on Peter James' best-selling novel set in the chilling world of genetic engineering. Three workers put their lives on the line as they discover a world
6947,Heidi,A story of a young girl who lives in the Swiss Alps with her goat herding Grandfather.
6948,Malcolm in the Middle: A Stroke of Genius,
6949,Naked Fame,Former Colt model and porn star Colton Ford left the skin flick business at 40 to return to a musical career along with his partner Blake Harper. This is is their story.
6950,Wanted: Dead or Alive,A Civil War veteran with a sawed-off rifle as a holstered weapon makes a living as a bounty hunter in the Wild West of the 1870s.
6951,Manhunter,"Former FBI profiler Will Graham returns to service to pursue a deranged serial killer dubbed ""the Tooth Fairy"" by the media."
6952,The War,A Vietnam veteran helps his kids battle over a tree house while recovering from his traumatic war experience.
6953,The Five Doctors,The Doctor and his previous incarnations are brought to the Death Zone on his homeworld Gallifrey as part of a renegade Time Lord's scheme.
6954,Any Given Sunday,A behind-the-scenes look at the life-and-death struggles of modern-day gladiators and those who lead them.
6955,Hanging Out in My Living Room Stream,
6956,UK/DK: A Film About Punks and Skinheads,"Featuring interviews, live concert footage, and a feature on how punk was transformed from a trend to a way of life, UK/DK is a comprehensive look at the skinhead/punk movement. Some of the most notorious bands on the scene are featured, including The Exploited, The Vice Squad, The Adicts and many more.::Anonymous"
6957,Tell Me Something,"Lieutenant Cho, a cop on the edge, is mourning his mother's recent death while under investigation for graft; on top of that he is suddenly put in charge of a seemingly-impenetrable mystery."
6958,Topkapi,A conman gets mixed up with a group of thieves who plan to rob an Istanbul museum to steal a jewelled dagger.
6959,Love Me Tender,"At the end of the Civil War, a Confederate team is ordered to rob a Union payroll train but the war ends leaving these men with their Union loot, until the Feds come looking for it."
6960,Daylight,Disaster in a New York tunnel as explosions collapse both ends of it. One hero tries to help the people inside find their way to safety.
6961,Tokyo Underground,"Under the capital city of Tokyo, Japan, there exists a large, vast, and unknown world known as Underground. There, people known as Elemental Users exist; people who have the ability to control the elements: Fire, Water, Lightning, Magnetism, Freeze, etc. Meet Rumina Asagi and his best friend Ginnosuke Isuzu, two average high school freshmen who reside in Tokyo. When they meet Gravity User, Chelsea Rorec, and the Maiden of Life, Ruri Sarasa, their whole lives change into one big adventure."
